Country,Compensation currency,Compensation time period,Employment type,Work location,Contract type,Job family,Level,Department,Manager,Entity,Teams,Position ID
Required,Required,Required,Required,Required,Required,Optional,Optional,Optional,Required,Required,Optional,Optional
Andorra,CUP,Month,"Salaried, full-time",Mexico City office,Fixed pay schedule,Sales Engineering,L1,Engineering,Jare Hu,Beautiful Cat Inc,Production team,EE106391
Austria,FKP,Week,Contractor / 1099,Remote,Time tracking,Sales,L2,Sales,,Acme Inc,Team 2,ADHOC107186
Papua New Guinea,NOK,Hour,,SF office,Milestone (invoice by job),Customer Support,L3,,,,,EE105899
Central African Republic,BRL,Year,,,,Engineering,,,,,,EE105813
Bangladesh,DJF,Day,,,,Finance,,,,,,EE105007
Somalia,CNY,,,,,Customer Success,,,,,,EE106197
United Kingdom,ILS,,,,,Infra,,,,,,EE105812
Kazakhstan,KGS,,,,,Product support,,,,,,EE105479
Tonga,NGN,,,,,Frontend,,,,,,EE106072
Eswatini,ZWL,,,,,Information Technology,,,,,,EE106227
Germany,PKR,,,,,Marketing,,,,,,EE106340
Madagascar,GBP,,,,,Human Resources,,,,,,EE104853
Belize,CRC,,,,,Backend,,,,,,EE106877
Kuwait,KPW,,,,,Partnerships,,,,,,EE105065
Djibouti,PGK,,,,,Velocity,,,,,,PID106895
Cameroon,SHP,,,,,SMB,,,,,,EE105752
Grenada,XAG,,,,,Enterprise,,,,,,EE106004
Tanzania,SDG,,,,,Mid-market,,,,,,EE105700
Singapore,QAR,,,,,,,,,,,EE105698
Hungary,EUR,,,,,,,,,,,EE104899
New Caledonia,THB,,,,,,,,,,,EE107119
Cook Islands,NPR,,,,,,,,,,,EE104391
Heard Island and McDonald Islands,MZN,,,,,,,,,,,EE107101
Gabon,XDR,,,,,,,,,,,EE106314
Czechia,PHP,,,,,,,,,,,EE105195
Belarus,HRK,,,,,,,,,,,EE105555
Niue,KYD,,,,,,,,,,,EE105798
Poland,SOS,,,,,,,,,,,ADHOC107315
Samoa,AOA,,,,,,,,,,,EE105957
"Bonaire, Sint Eustatius and Saba",BMD,,,,,,,,,,,EE104475
Romania,CLF,,,,,,,,,,,EE105452
Cayman Islands,BDT,,,,,,,,,,,ADHOC107232
Macao,IRR,,,,,,,,,,,EE105221
Mongolia,XPT,,,,,,,,,,,EE105468
Zimbabwe,ANG,,,,,,,,,,,EE105964
Mozambique,NZD,,,,,,,,,,,EE105512
French Polynesia,COP,,,,,,,,,,,EE104668
Greece,RON,,,,,,,,,,,EE104835
Thailand,TTD,,,,,,,,,,,EE105681
Lebanon,NAD,,,,,,,,,,,EE105751
India,DOP,,,,,,,,,,,EE105133
Lesotho,BGN,,,,,,,,,,,ADHOC107214
Mauritius,SEK,,,,,,,,,,,EE105076
Costa Rica,MVR,,,,,,,,,,,EE105096
Ukraine,CLP,,,,,,,,,,,EE105181
Cambodia,VUV,,,,,,,,,,,EE104803
Trinidad and Tobago,LYD,,,,,,,,,,,EE106266
South Africa,MOP,,,,,,,,,,,EE104814
Malta,BIF,,,,,,,,,,,EE107079
Afghanistan,GMD,,,,,,,,,,,EE105624
Estonia,XAU,,,,,,,,,,,EE106128
Lao People's Democratic Republic,GYD,,,,,,,,,,,EE105795
Saint Kitts and Nevis,TRY,,,,,,,,,,,EE105593
Haiti,MKD,,,,,,,,,,,EE104050
Northern Mariana Islands,SZL,,,,,,,,,,,EE106778
Timor-Leste,IDR,,,,,,,,,,,EE106389
"Virgin Islands, British",UGX,,,,,,,,,,,EE104705
Lithuania,TZS,,,,,,,,,,,EE104300
Ecuador,BND,,,,,,,,,,,EE106285
"Saint Helena, Ascension and Tristan da Cunha",GHS,,,,,,,,,,,EE104600
Saint Lucia,PLN,,,,,,,,,,,EE104704
South Sudan,PAB,,,,,,,,,,,EE106727
Morocco,ERN,,,,,,,,,,,EE105977
Malaysia,JOD,,,,,,,,,,,EE104152
Zambia,LKR,,,,,,,,,,,EE104481
Vietnam,TND,,,,,,,,,,,EE105668
Holy See (Vatican City State),BSD,,,,,,,,,,,EE105948
Iraq,BWP,,,,,,,,,,,EE106597
Hong Kong,AWG,,,,,,,,,,,EE106821
Norfolk Island,MXN,,,,,,,,,,,EE105513
French Guiana,KMF,,,,,,,,,,,EE105144
Uruguay,BZD,,,,,,,,,,,EE105575
El Salvador,CHF,,,,,,,,,,,EE104869
Mali,EGP,,,,,,,,,,,EE105628
Solomon Islands,LSL,,,,,,,,,,,EE106770
"Palestine, State of",XPD,,,,,,,,,,,EE105622
Taiwan,DZD,,,,,,,,,,,EE106153
Montserrat,ETB,,,,,,,,,,,EE105860
Uganda,INR,,,,,,,,,,,EE106081
Guam,KHR,,,,,,,,,,,EE105673
Kenya,XCD,,,,,,,,,,,EE106346
Egypt,ISK,,,,,,,,,,,EE106239
Ireland,IQD,,,,,,,,,,,EE105993
Chile,MMK,,,,,,,,,,,EE105721
